GEOID,COUNTYFP,COUNTY,POP_25OV21,N_HSDIP21,HS_DIP21,SOM_COLL21,ASSO_DEG21,BACH_DEG21,MAST_DEG21,PROF_DEG21,DOCT_DEG21
18001,1,Adams County,21341,2933,9456,3669,2205,2069,833,112,64
18003,3,Allen County,248919,24735,70255,52473,27058,49906,18246,3715,2531
18005,5,Bartholomew County,55727,4682,16918,9630,4871,11071,7168,790,597
18007,7,Benton County,5857,678,2356,1351,446,806,165,39,16
18009,9,Blackford County,8562,781,4235,1652,674,729,409,9,73
18011,11,Boone County,46345,2591,8792,7840,4221,14308,5413,1890,1290
18013,13,Brown County,11846,822,4054,2571,1119,2034,848,202,196
18015,15,Carroll County,14196,1549,6022,2914,1627,1467,524,59,34
18017,17,Cass County,26099,3998,10791,5159,2597,2464,937,146,7
18019,19,Clark County,83820,7621,29348,18912,8866,13103,4560,699,711
18021,21,Clay County,18322,1614,7618,3687,2417,2078,635,168,105
18023,23,Clinton County,21541,2840,9771,3712,2000,2130,924,135,29
18025,25,Crawford County,7432,1274,3487,1317,482,532,299,9,32
18027,27,Daviess County,20685,4785,6965,3318,2787,2044,639,72,75
18029,29,Dearborn County,35218,3254,13463,6493,3237,5904,2257,262,348
18031,31,Decatur County,17777,1461,7909,3065,1640,2746,782,111,63
18033,33,DeKalb County,29149,2637,12667,5620,2778,4003,1260,135,49
18035,35,Delaware County,69793,6654,23450,14942,6989,10299,5539,715,1205
18037,37,Dubois County,29484,2949,11153,4629,3486,5279,1592,278,118
18039,39,Elkhart County,130718,23619,45191,25999,9740,17303,6746,1327,793
18041,41,Fayette County,16418,2472,7284,2857,1333,1808,556,47,61
18043,43,Floyd County,55023,4801,16949,11405,5215,10543,4547,910,653
18045,45,Fountain County,11508,1398,5045,2444,1121,988,439,64,9
18047,47,Franklin County,15690,1838,6327,2933,1240,2163,1010,106,73
18049,49,Fulton County,13996,1745,5566,3322,1082,1511,654,29,87
18051,51,Gibson County,22475,1921,9399,4400,2670,2941,901,176,67
18053,53,Grant County,44272,5183,16692,9378,4361,5095,2912,284,367
18055,55,Greene County,21883,2547,8608,4860,2428,2300,849,222,69
18057,57,Hamilton County,223841,6183,32280,33743,16135,84106,36330,9460,5604
18059,59,Hancock County,54282,3626,16350,11482,5143,11848,4642,634,557
18061,61,Harrison County,27901,2724,11739,6001,2199,3500,1346,274,118
18063,63,Hendricks County,115176,5625,30616,23777,9716,29454,12287,2493,1208
18065,65,Henry County,34771,3200,14851,7554,3065,4008,1836,128,129
18067,67,Howard County,57426,5225,21571,13162,5500,7969,3353,465,181
18069,69,Huntington County,25097,1800,10588,4892,2565,3481,1466,237,68
18071,71,Jackson County,31136,3381,12941,6892,2462,3799,1335,263,63
18073,73,Jasper County,22394,1917,10057,4633,1889,2705,819,171,203
18075,75,Jay County,13759,1647,6485,2672,1174,1050,562,128,41
18077,77,Jefferson County,23039,2412,9402,4526,2456,2737,1189,116,201
18079,79,Jennings County,18947,2102,8061,4390,1470,2008,752,130,34
18081,81,Johnson County,106621,7709,33039,21732,9144,22558,9237,1887,1315
18083,83,Knox County,24190,2738,8575,4677,3691,2706,1334,227,242
18085,85,Kosciusko County,53603,6577,18695,11129,4177,8353,3869,466,337
18087,87,LaGrange County,23349,9436,6691,3419,1368,1482,630,148,175
18089,89,Lake County,336230,34286,119068,74541,28670,52450,20896,4072,2247
18091,91,LaPorte County,78799,8368,31353,16784,6801,10398,3712,937,446
18093,93,Lawrence County,31901,3573,12115,6446,3463,3704,2167,328,105
18095,95,Madison County,90655,9283,36143,19523,8467,11403,4874,584,378
18097,97,Marion County,638013,83635,175662,120566,48968,134707,52137,14765,7573
18099,99,Marshall County,30725,4446,11411,6246,2313,4123,1777,310,99
18101,101,Martin County,6872,870,2962,1140,908,656,304,14,18
18103,103,Miami County,25219,3431,10701,5084,2305,2532,916,137,113
18105,105,Monroe County,81338,5001,17048,14415,6303,19566,13453,1791,3761
18107,107,Montgomery County,25828,2447,10834,5342,1979,3355,1423,131,317
18109,109,Morgan County,49577,5710,19804,10182,4408,6299,2517,300,357
18111,111,Newton County,9947,1211,4532,2152,885,866,197,80,24
18113,113,Noble County,31763,5450,12525,6088,2519,3607,1300,183,91
18115,115,Ohio County,4412,471,1878,1006,363,503,171,15,5
18117,117,Orange County,13758,2080,6154,2553,1136,1191,482,98,64
18119,119,Owen County,15279,2161,6718,3020,1239,1485,566,74,16
18121,121,Parke County,11593,1753,4495,2669,1172,919,481,51,53
18123,123,Perry County,13675,1259,6262,2704,1321,1418,535,165,11
18125,125,Pike County,8663,1020,3910,1682,824,823,336,49,19
18127,127,Porter County,118889,7058,40921,24578,10368,22088,9516,2473,1887
18129,129,Posey County,17856,1307,6514,3682,2023,2897,1117,159,157
18131,131,Pulaski County,8682,1111,3954,1863,617,766,286,53,32
18133,133,Putnam County,24529,2663,10075,5305,2138,2778,1210,223,137
18135,135,Randolph County,17112,1872,7130,3954,1382,1696,835,121,122
18137,137,Ripley County,19620,1932,8045,3835,2038,2117,1281,195,177
18139,139,Rush County,11519,1183,5234,2309,911,1177,676,29,0
18141,141,St. Joseph County,177572,15956,52541,36147,15890,34023,15365,3930,3720
18143,143,Scott County,16728,3183,6963,3087,1272,1528,581,17,97
18145,145,Shelby County,31117,3402,13695,5687,2516,4088,1410,157,162
18147,147,Spencer County,14172,1217,5842,2614,1775,1775,775,114,60
18149,149,Starke County,16055,2317,7194,3442,1194,1324,525,30,29
18151,151,Steuben County,23719,1809,9389,4732,2346,3593,1474,184,192
18153,153,Sullivan County,14945,1879,6349,2862,1967,1209,591,56,32
18155,155,Switzerland County,6745,1015,3461,1124,527,477,108,19,14
18157,157,Tippecanoe County,103486,7679,27859,17988,7936,23201,12116,2175,4532
18159,159,Tipton County,10934,1033,4454,1696,1043,1840,728,70,70
18161,161,Union County,5179,610,2030,1040,469,709,292,15,14
18163,163,Vanderburgh County,123080,11142,38933,26006,13491,21924,8517,1916,1151
18165,165,Vermillion County,10883,933,4482,2496,1172,1234,512,54,0
18167,167,Vigo County,68771,7126,23086,14969,6347,10001,5058,829,1355
18169,169,Wabash County,21252,2154,9037,3943,1893,2564,1426,95,140
18171,171,Warren County,6040,392,2604,1248,707,779,265,37,8
18173,173,Warrick County,43859,2392,12395,9023,5654,9087,3797,1125,386
18175,175,Washington County,19448,2593,8252,4096,2010,1835,546,96,20
18177,177,Wayne County,45483,5387,16687,10201,4364,5465,2441,566,372
18179,179,Wells County,19007,1292,8158,3831,2298,2436,746,142,104
18181,181,White County,16950,1840,6745,3779,1601,1960,785,118,122
18183,183,Whitley County,23707,1864,8679,4754,2936,4013,1031,334,96
